"Page type"	"Age breast with all 7gr"	"Merge AJCC stage-breast"	"Sex"	"Origin recode NHIA (Hispanic, Non-Hisp)"	"Interval"	"Alive at Start"	"Died"	"Lost to Followup"	"Observed Survival (Interval)"	"Observed Survival (Cum)"	"Expected Survival (Interval)"	"Expected Survival (Cum)"	"Relative Survival (Interval)"	"Relative Survival (Cum)"	"Observed SE (Interval)"	"Observed SE (Cum)"	"Relative SE (Interval)"	"Relative SE (Cum)"
0	0	1	0	0	8	21955	360	1747	0.98292	0.86568	0.99763	0.98539	0.98526	0.87852	0.00089	0.00198	0.00089	0.00201
0	0	1	0	0	9	19848	307	1693	0.98384	0.85169	0.99743	0.98285	0.98638	0.86655	0.00091	0.00210	0.00092	0.00214
0	0	1	0	0	10	17848	267	1636	0.98432	0.83834	0.99721	0.98011	0.98708	0.85536	0.00095	0.00222	0.00095	0.00227
0	0	1	0	0	11	15945	221	1670	0.98537	0.82608	0.99697	0.97714	0.98836	0.84540	0.00098	0.00234	0.00098	0.00239
0	0	1	0	0	12	14054	180	1563	0.98644	0.81487	0.99672	0.97394	0.98968	0.83668	0.00100	0.00245	0.00101	0.00251
0	0	1	0	0	13	12311	149	1555	0.98708	0.80435	0.99643	0.97046	0.99062	0.82883	0.00105	0.00256	0.00106	0.00264
0	0	1	0	0	14	10607	134	1608	0.98633	0.79335	0.99613	0.96671	0.99016	0.82067	0.00117	0.00270	0.00118	0.00279
0	0	1	0	0	15	8865	109	1554	0.98652	0.78266	0.99582	0.96267	0.99066	0.81301	0.00128	0.00285	0.00129	0.00296
0	0	1	0	0	16	7202	102	1595	0.98407	0.77020	0.99552	0.95836	0.98850	0.80366	0.00156	0.00306	0.00157	0.00319
0	0	1	0	0	17	5505	63	1451	0.98682	0.76004	0.99515	0.95371	0.99163	0.79693	0.00165	0.00328	0.00166	0.00344
0	0	1	0	0	18	3991	43	1336	0.98706	0.75021	0.99484	0.94878	0.99218	0.79070	0.00196	0.00356	0.00197	0.00375
0	0	1	0	0	19	2612	26	1321	0.98668	0.74021	0.99443	0.94350	0.99220	0.78454	0.00260	0.00402	0.00261	0.00426
0	0	1	0	1	1	8388	39	336	0.99526	0.99526	0.99918	0.99918	0.99608	0.99608	0.00076	0.00076	0.00076	0.00076
0	0	1	0	1	2	8013	159	274	0.97981	0.97516	0.99911	0.99829	0.98069	0.97684	0.00158	0.00174	0.00159	0.00175
0	0	1	0	1	3	7580	198	648	0.97271	0.94855	0.99904	0.99732	0.97365	0.95110	0.00191	0.00252	0.00191	0.00253
0	0	1	0	1	4	6734	132	592	0.97950	0.92910	0.99896	0.99629	0.98052	0.93257	0.00177	0.00298	0.00177	0.00299
0	0	1	0	1	5	6010	112	576	0.98043	0.91092	0.99887	0.99516	0.98154	0.91535	0.00183	0.00338	0.00183	0.00340
0	0	1	0	1	6	5322	102	509	0.97987	0.89258	0.99878	0.99394	0.98107	0.89802	0.00197	0.00377	0.00198	0.00379
0	0	1	0	1	7	4711	89	479	0.98010	0.87482	0.99867	0.99262	0.98140	0.88132	0.00209	0.00414	0.00209	0.00417
0	0	1	0	1	8	4143	75	435	0.98089	0.85810	0.99856	0.99119	0.98231	0.86573	0.00218	0.00449	0.00219	0.00453
0	0	1	0	1	9	3633	64	424	0.98129	0.84205	0.99843	0.98964	0.98283	0.85087	0.00232	0.00483	0.00232	0.00488
0	0	1	0	1	10	3145	49	329	0.98356	0.82821	0.99829	0.98794	0.98524	0.83831	0.00233	0.00514	0.00233	0.00520
0	0	1	0	1	11	2767	28	322	0.98926	0.81931	0.99814	0.98611	0.99110	0.83085	0.00202	0.00535	0.00202	0.00543
0	0	1	0	1	12	2417	34	325	0.98492	0.80695	0.99797	0.98411	0.98692	0.81998	0.00257	0.00568	0.00257	0.00577
0	0	1	0	1	13	2058	25	300	0.98690	0.79638	0.99778	0.98193	0.98909	0.81104	0.00260	0.00598	0.00261	0.00609
0	0	1	0	1	14	1733	21	292	0.98677	0.78584	0.99757	0.97954	0.98917	0.80226	0.00287	0.00633	0.00288	0.00646
0	0	1	0	1	15	1420	24	285	0.98121	0.77108	0.99734	0.97693	0.98383	0.78929	0.00380	0.00689	0.00381	0.00705
0	0	1	0	1	16	1111	20	243	0.97979	0.75549	0.99710	0.97410	0.98264	0.77558	0.00447	0.00758	0.00449	0.00778
0	0	1	0	1	17	848	7	236	0.99041	0.74825	0.99688	0.97105	0.99351	0.77055	0.00361	0.00799	0.00362	0.00823
0	0	1	0	1	18	605	3	214	0.99398	0.74374	0.99656	0.96771	0.99741	0.76855	0.00347	0.00835	0.00348	0.00863
0	0	1	0	1	19	388	2	204	0.99301	0.73854	0.99626	0.96410	0.99673	0.76604	0.00493	0.00907	0.00495	0.00941
0	0	1	2	0	1	35913	168	269	0.99530	0.99530	0.99862	0.99862	0.99668	0.99668	0.00036	0.00036	0.00036	0.00036
0	0	1	2	0	2	35476	666	238	0.98116	0.97656	0.99850	0.99712	0.98263	0.97937	0.00072	0.00080	0.00072	0.00080
0	0	1	2	0	3	34572	717	1979	0.97865	0.95571	0.99839	0.99552	0.98023	0.96001	0.00079	0.00110	0.00079	0.00110
0	0	1	2	0	4	31876	699	1892	0.97740	0.93411	0.99826	0.99378	0.97910	0.93995	0.00085	0.00134	0.00085	0.00135
0	0	1	2	0	5	29285	576	2092	0.97960	0.91505	0.99812	0.99192	0.98145	0.92251	0.00084	0.00153	0.00084	0.00155
0	0	1	2	0	6	26617	484	1933	0.98113	0.89779	0.99797	0.98990	0.98313	0.90695	0.00085	0.00169	0.00085	0.00171
0	0	1	2	0	7	24200	443	1802	0.98099	0.88072	0.99780	0.98773	0.98314	0.89166	0.00089	0.00185	0.00090	0.00187
0	0	1	2	0	8	21955	360	1747	0.98292	0.86568	0.99763	0.98539	0.98526	0.87852	0.00089	0.00198	0.00089	0.00201
0	0	1	2	0	9	19848	307	1693	0.98384	0.85169	0.99743	0.98285	0.98638	0.86655	0.00091	0.00210	0.00092	0.00214
0	0	1	2	0	10	17848	267	1636	0.98432	0.83834	0.99721	0.98011	0.98708	0.85536	0.00095	0.00222	0.00095	0.00227
0	0	1	2	0	11	15945	221	1670	0.98537	0.82608	0.99697	0.97714	0.98836	0.84540	0.00098	0.00234	0.00098	0.00239
0	0	1	2	0	12	14054	180	1563	0.98644	0.81487	0.99672	0.97394	0.98968	0.83668	0.00100	0.00245	0.00101	0.00251
0	0	1	2	0	13	12311	149	1555	0.98708	0.80435	0.99643	0.97046	0.99062	0.82883	0.00105	0.00256	0.00106	0.00264
0	0	1	2	0	14	10607	134	1608	0.98633	0.79335	0.99613	0.96671	0.99016	0.82067	0.00117	0.00270	0.00118	0.00279
0	0	1	2	0	15	8865	109	1554	0.98652	0.78266	0.99582	0.96267	0.99066	0.81301	0.00128	0.00285	0.00129	0.00296
0	0	1	2	0	16	7202	102	1595	0.98407	0.77020	0.99552	0.95836	0.98850	0.80366	0.00156	0.00306	0.00157	0.00319
0	0	1	2	0	17	5505	63	1451	0.98682	0.76004	0.99515	0.95371	0.99163	0.79693	0.00165	0.00328	0.00166	0.00344
0	0	1	2	0	18	3991	43	1336	0.98706	0.75021	0.99484	0.94878	0.99218	0.79070	0.00196	0.00356	0.00197	0.00375
0	0	1	2	0	19	2612	26	1321	0.98668	0.74021	0.99443	0.94350	0.99220	0.78454	0.00260	0.00402	0.00261	0.00426
0	0	1	2	1	1	8388	39	336	0.99526	0.99526	0.99918	0.99918	0.99608	0.99608	0.00076	0.00076	0.00076	0.00076
0	0	1	2	1	2	8013	159	274	0.97981	0.97516	0.99911	0.99829	0.98069	0.97684	0.00158	0.00174	0.00159	0.00175
0	0	1	2	1	3	7580	198	648	0.97271	0.94855	0.99904	0.99732	0.97365	0.95110	0.00191	0.00252	0.00191	0.00253
0	0	1	2	1	4	6734	132	592	0.97950	0.92910	0.99896	0.99629	0.98052	0.93257	0.00177	0.00298	0.00177	0.00299
0	0	1	2	1	5	6010	112	576	0.98043	0.91092	0.99887	0.99516	0.98154	0.91535	0.00183	0.00338	0.00183	0.00340
0	0	1	2	1	6	5322	102	509	0.97987	0.89258	0.99878	0.99394	0.98107	0.89802	0.00197	0.00377	0.00198	0.00379
0	0	1	2	1	7	4711	89	479	0.98010	0.87482	0.99867	0.99262	0.98140	0.88132	0.00209	0.00414	0.00209	0.00417
0	0	1	2	1	8	4143	75	435	0.98089	0.85810	0.99856	0.99119	0.98231	0.86573	0.00218	0.00449	0.00219	0.00453
0	0	1	2	1	9	3633	64	424	0.98129	0.84205	0.99843	0.98964	0.98283	0.85087	0.00232	0.00483	0.00232	0.00488
0	0	1	2	1	10	3145	49	329	0.98356	0.82821	0.99829	0.98794	0.98524	0.83831	0.00233	0.00514	0.00233	0.00520
0	0	1	2	1	11	2767	28	322	0.98926	0.81931	0.99814	0.98611	0.99110	0.83085	0.00202	0.00535	0.00202	0.00543
0	0	1	2	1	12	2417	34	325	0.98492	0.80695	0.99797	0.98411	0.98692	0.81998	0.00257	0.00568	0.00257	0.00577
0	0	1	2	1	13	2058	25	300	0.98690	0.79638	0.99778	0.98193	0.98909	0.81104	0.00260	0.00598	0.00261	0.00609
0	0	1	2	1	14	1733	21	292	0.98677	0.78584	0.99757	0.97954	0.98917	0.80226	0.00287	0.00633	0.00288	0.00646
0	0	1	2	1	15	1420	24	285	0.98121	0.77108	0.99734	0.97693	0.98383	0.78929	0.00380	0.00689	0.00381	0.00705
0	0	1	2	1	16	1111	20	243	0.97979	0.75549	0.99710	0.97410	0.98264	0.77558	0.00447	0.00758	0.00449	0.00778
0	0	1	2	1	17	848	7	236	0.99041	0.74825	0.99688	0.97105	0.99351	0.77055	0.00361	0.00799	0.00362	0.00823
0	0	1	2	1	18	605	3	214	0.99398	0.74374	0.99656	0.96771	0.99741	0.76855	0.00347	0.00835	0.00348	0.00863
0	0	1	2	1	19	388	2	204	0.99301	0.73854	0.99626	0.96410	0.99673	0.76604	0.00493	0.00907	0.00495	0.00941
0	0	2	0	0	1	14223	382	84	0.97306	0.97306	0.99859	0.99859	0.97444	0.97444	0.00136	0.00136	0.00136	0.00136
0	0	2	0	0	2	13757	1044	100	0.92383	0.89895	0.99848	0.99708	0.92524	0.90159	0.00227	0.00254	0.00227	0.00254
0	0	2	0	0	3	12613	836	641	0.93199	0.83781	0.99838	0.99546	0.93350	0.84163	0.00227	0.00312	0.00227	0.00314
0	0	2	0	0	4	11136	664	610	0.93869	0.78645	0.99826	0.99373	0.94033	0.79141	0.00231	0.00351	0.00231	0.00353
0	0	2	0	0	5	9862	495	583	0.94828	0.74577	0.99812	0.99187	0.95006	0.75189	0.00226	0.00378	0.00227	0.00381
0	0	2	0	0	6	8784	391	582	0.95396	0.71144	0.99798	0.98986	0.95590	0.71873	0.00227	0.00398	0.00228	0.00402
0	0	2	0	0	7	7811	342	563	0.95458	0.67913	0.99781	0.98769	0.95667	0.68759	0.00240	0.00417	0.00240	0.00422
0	0	2	0	0	8	6906	305	550	0.95400	0.64789	0.99763	0.98535	0.95627	0.65752	0.00257	0.00434	0.00258	0.00441
0	0	2	0	0	9	6051	216	533	0.96266	0.62370	0.99743	0.98282	0.96514	0.63460	0.00249	0.00448	0.00250	0.00456
0	0	2	0	0	10	5302	155	480	0.96938	0.60460	0.99720	0.98007	0.97210	0.61689	0.00242	0.00460	0.00243	0.00469
0	0	2	0	0	11	4667	136	458	0.96936	0.58607	0.99697	0.97710	0.97230	0.59980	0.00259	0.00472	0.00260	0.00483
0	0	2	0	0	12	4073	108	506	0.97173	0.56950	0.99671	0.97389	0.97494	0.58477	0.00268	0.00485	0.00269	0.00498
0	0	2	0	0	13	3459	77	473	0.97611	0.55589	0.99643	0.97041	0.97960	0.57284	0.00269	0.00498	0.00270	0.00513
0	0	2	0	0	14	2909	68	457	0.97463	0.54179	0.99613	0.96665	0.97842	0.56048	0.00304	0.00514	0.00305	0.00531
0	0	2	0	0	15	2384	57	451	0.97359	0.52748	0.99580	0.96259	0.97770	0.54798	0.00345	0.00534	0.00347	0.00555
0	0	2	0	0	16	1876	39	386	0.97683	0.51526	0.99540	0.95816	0.98134	0.53776	0.00367	0.00556	0.00368	0.00581
0	0	2	0	0	17	1451	29	388	0.97693	0.50337	0.99502	0.95339	0.98182	0.52798	0.00423	0.00586	0.00426	0.00614
0	0	2	0	0	18	1034	21	350	0.97555	0.49107	0.99471	0.94835	0.98074	0.51781	0.00527	0.00630	0.00530	0.00664
0	0	2	0	0	19	663	8	328	0.98397	0.48319	0.99434	0.94298	0.98957	0.51241	0.00562	0.00678	0.00565	0.00720
0	0	2	0	1	1	3916	99	134	0.97428	0.97428	0.99919	0.99919	0.97507	0.97507	0.00255	0.00255	0.00255	0.00255
0	0	2	0	1	2	3683	285	124	0.92129	0.89760	0.99913	0.99832	0.92210	0.89911	0.00447	0.00495	0.00448	0.00496
0	0	2	0	1	3	3274	246	222	0.92223	0.82779	0.99905	0.99738	0.92310	0.82996	0.00476	0.00626	0.00477	0.00627
0	0	2	0	1	4	2806	170	225	0.93689	0.77554	0.99898	0.99636	0.93784	0.77838	0.00469	0.00703	0.00469	0.00705
